,new_tech_spin,baseline_spin
560,2206.7,2192.13
561,2253.4,2229.54
562,1945,1984.27
563,1648.3,1731.28
564,1823.2,1808.97
565,2396.9,2638.3
566,2171.5,2125.15
567,2293.3,2271.49
568,2288.2,2266.67
569,2484,2482.6
570,2541.9,2691.95
571,2249.4,2267.29
572,1946.7,1948.63
573,2220.6,2213.54
574,2435.9,2423.36
575,2137.9,2118.43
576,2019.9,2028.6
577,2271.4,2296.34
578,1793.7,1812.01
579,2266.8,2254.97
580,1817.6,2320.51
581,2055.4,2045.63
582,1600.3,1589.42
583,2671.5,2210.58
584,1704.8,1727.88
585,2642.6,2563.27
586,2132.3,2180.16
587,2323.5,2331.75
588,2128.5,2093.48
589,2316.2,2313.74
590,2145.4,2237.75
591,1496.7,1431.69
592,2423.1,2114.35
593,2426.3,2463.76
594,2433.8,2504.88
595,2032.1,2014.85
596,2462.8,2395.52
597,2227.9,2201
598,2287,2240.06
599,2709.7,2730.68
600,2244.4,2265.18
601,1765.4,1695.11
602,1856.4,1861.87
603,2268.9,2276.96
604,2443.1,2421.85
605,2297.3,2260.19
606,1632.2,2347.52
607,2163,2150.73
608,2407.4,2416.51
609,1862.4,1891.78
610,2470.5,2446.95
611,2033.6,2037.03
612,2315.9,2274.19
613,2578.6,2661.52
614,2251.5,2219.66
615,2030.4,1834.39
616,2278.2,2257.74
617,2271.2,2241.03
618,1799.5,1803.15
619,2246.5,2308.77
620,2177.3,2224.44
621,2156.5,2174.3
622,2337.2,2315.27
623,2263.3,2267.76
624,2061.2,2719.72
625,2332.4,2302.17
626,2407.4,2424.34
627,2338,2335.93
628,1465,1434.59
629,2195.6,2356.59
630,2229.5,2432.95
631,1791.8,1907.84
632,2257.6,2234.75
633,2442.6,2393.83
634,1950.8,1928.64
635,2285,2248.04
636,1770.2,1736.46
637,2698.2,2793.21
638,2406.5,2440.78
639,2427.1,2421.57
640,2446.2,2300.51
641,2302.7,2280.55
642,2269.9,2290.35
643,2366.5,2370.71
644,1993.2,1913.82
645,2263.7,2296.77
646,2190.2,2461.51
647,2289.5,2309.17
648,2065.7,2037.92
649,1592.2,1575.29
650,2401.2,2350.57
651,2082.1,2086.71
652,2349.1,1624.26
653,2377.8,2468.86
654,2383.3,2385.9
655,2394.5,2358.53
656,2121.3,2210.16
657,2575.8,2619.25
658,2269.6,2255.19
659,2264.7,2231.84
660,2527.7,2542.79
661,2188.6,2385.13
662,2340.6,2319.45
663,2206.8,2159.6
664,2233.1,2388.55
665,2131.2,2124.02
666,1998.1,1993.31
667,2452.4,2500.44
668,2321.6,2304.68
669,2405.4,2376.27
670,2235.8,2277.27
671,2037.6,2046.21
672,2189.6,2216.36
673,1572.4,1621.96
674,2286,2329.01
675,2168.1,2201.84
676,2228.3,2159.13
677,2253.5,2257.97
678,2190.4,2203.28
679,2175.9,2190.61
680,2312.6,2279.84
681,2161.1,2219.53
682,1955.1,2508.07
683,2216.5,2204.38
684,2231.2,2212.46
685,2208.8,2212.06
686,2333.1,2345.59
687,2265.6,2286.12
688,2228.7,2191.38
689,2201.2,2436.02
690,2352.4,2291.84
691,2246.3,2295.39
692,2488.4,2439.49
693,2348,2324.55
694,2031.4,1953.68
695,2239.8,2226.88
696,1859.3,1882.49
697,898.1,930.81
698,2393.3,2234.97
699,1877.8,1817.82
700,2454.1,2484.33
701,2409.9,2394.73
702,2206.2,2215.86
703,2224,2247.34
704,2315.7,2291.85
705,2604.7,2646.98
706,2400.2,2366.27
707,2284.3,2356.27
708,2275.2,2280.28
709,1612.8,1591.21
710,1695.6,1699.09
711,2166.6,2230.01
712,2484.8,2430.7
713,2532,2516.06
714,2614.9,2699.18
715,2148.2,2177.06
716,2230.5,2216.86
717,2191.9,2187.82
718,2363.5,2338.47
719,2426.1,2414.23
720,2390,2317.14
721,2352.1,2354.36
722,1710.8,1641.46
723,2288.7,2284.1
724,2237.5,2232.05
725,1978.8,1991.23
726,2295.5,2265.29
727,1704.6,1690.58
728,2221.7,2237.3
729,2289.7,2288.34
730,1693.9,1661.61
731,1718,1704.84
732,2329.4,2384.97
733,2102.9,2246.38
734,2520.4,2451.63
735,2393.1,2387.18
736,2410.4,2617.52
737,2240.5,2237.63
738,1881.6,1812.39
739,2255.6,2269.23
740,1944.8,1936.34
741,2274,2276
742,2178.2,2156.2
743,2192.8,2186.22
744,2234.8,2237.4
745,1952.4,2040.8
746,2336,2371.75
747,2303.4,2346.98
748,2083.5,2228.99
749,2116.3,2107.3
750,2375.5,2406.05
751,2357.8,2337.79
752,2159.4,2143.48
753,2502.7,2512.92
754,2251.5,2253.64
755,2405.9,2391.56
756,2150.3,2120.35
757,2133.2,2160.89
758,1721.1,2169.72
759,2130,2092.68
760,1742.5,1720.86
761,1485.6,2102
762,2260.1,2269.95
763,1877.3,2469.51
764,2212.6,2224.2
765,1961.3,2021.66
766,1981.7,2105.12
767,2195.3,2190.76
768,2063.9,2084.35
769,2316.2,2422.98
770,540.8,2233.62
771,2413,2420.88
772,2232.1,2359.89
773,1814.1,1815.67
774,2268.4,2253.28
775,2195.6,2242.67
776,2164.4,2143.57
777,2231.4,2245.43
778,2378.4,2365.39
779,1639.7,1676.16
780,2314.1,2343.19
781,2165.5,2148.2
782,2265.7,2211.58
783,2335.7,2334.54
784,2108.3,2144.29
785,2298,2282.8
786,2335.1,2321.27
787,2125.3,2132.5
788,2281.3,2253.57
789,2261.2,2240.67
790,2418.3,2317.02
791,2253.6,2267.93
792,2063.8,2089.74
793,2332.9,2242.84
794,1935.6,1913.04
795,2263.7,2303.02
796,2228.2,2220.49
797,2271.5,1480.53
798,2583.1,2600.48
799,2443.8,2540.48
800,2694.4,2712.89
801,2609.4,2642.9
802,2448.1,2443.58
803,1977.1,1941.67
804,2384.6,2436.59
805,2408.4,2435.57
806,2330.7,2344.93
807,2068.6,2029.39
808,2233.1,2223.62
809,2300.3,2262.66
810,2294.7,2299.86
811,2238.4,2231.02
812,2568.4,2562.55
813,2334.9,2369.52
814,2118.3,2158.58
815,2131.6,2158.74
816,2298.6,2362.36
817,2358.6,2427.93
818,2204.3,2231.29
819,2357.1,2368.93
820,2480.7,2484.86
821,2287.1,1834.97
822,2258,2252.17
823,1566.2,1534.67
824,2548.1,2530.85
825,2839.7,2321.66
826,2453.2,2461.81
827,2420.8,2432.91
828,2212.2,2199.54
829,1810.2,1734.8
830,2138.3,2109.9
831,2182,2174.58
832,2301.8,2356.82
833,2329.2,2308.58
834,2328,2302.97
835,834.3,806.79
836,1854.6,1795.63
837,2348.8,2304
838,2287.4,2243.16
839,2353.6,2284.1
840,1840.3,1670.47
841,2395.1,2358.7
842,2368.7,2339.51
843,2282.6,2230.74
844,2384,2341.17
845,2430,2451.11
846,2226.9,2204.52
847,1832.7,1832.43
848,2273,2286.38
849,2314.8,2360.24
850,2230.6,2252.04
851,2516.3,2494.47
852,2211.3,2200.72
853,2033.4,2013.75
854,2308.3,2319.96
855,2297.9,2301.16
856,2397.2,2400.69
857,2134.6,2091.11
858,2125.8,2186.18
859,1656.4,1663.43
860,2250.9,2209.32
861,1971.9,1974.25
862,2146.3,2136.41
863,2110.9,2102.81
864,1967.8,1812.7
865,948,966.75
866,1973.9,1965.82
867,2372.8,2354.36
868,1916.7,1984.93
869,2477.2,2410.39
870,2147.3,2188.63
871,2096.9,2101.73
872,1967.5,1964.92
873,2222.5,2221.51
874,2191.7,2197.19
875,2327.5,2295.51
876,2255.3,2294.61
877,2067.2,2066.18
878,2211.4,2226.54
879,2553.6,2509.98
880,2025.1,2006.19
881,2454.5,2501.97
882,2317,2310.09
883,2243.1,2327.89
884,2237.4,2209.45
885,2457.3,2500.84
886,2284.2,2324.75
887,2400.6,2339.36
888,2336.1,2323.13
889,2147.1,2151.23
890,2168.3,2180.99
891,1628.1,1598.79
892,2148.7,2069.1
893,2322.1,2262.44
894,1495.3,1496.09
895,2183.9,2187.76
896,2457.9,2408.91
897,2248.4,2204.6
898,2610.3,2624.66
899,2456.7,2454.97
900,2347.7,2327.96
901,2615.9,2659.13
902,2252.5,2431.76
903,1622.9,1649.23
904,2557.4,2573.9
905,2125.7,2126.38
906,2188.8,2159.04
907,2215.2,2218.83
908,2161.6,2225.54
909,2553.1,2598.77
910,2009.2,1840.58
911,2260.6,2298.53
912,2171,2153.41
913,2299.7,2268.7
914,2234.2,2301.29
915,2344.9,2362.88
916,2180.4,2165.45
917,1794.1,1783.25
918,2404.1,2410.48
919,2438.6,2428.53
920,1525.1,2373.54
921,2146.3,2193.56
922,2394.1,2398.05
923,2477.1,2450.73
924,2150.7,2129.03
925,2215.3,2202.72
926,1833.2,1846.68
927,2280.9,2278.59
928,2282,2250.32
929,2200.2,2209.65
930,2330.7,2290.01
931,2281,2267.32
932,2340.3,2356.6
933,2053.7,2071.97
934,2286.1,2324.48
935,2283,2258.67
936,2344.7,2342.3
937,2520.5,2580.93
938,1011.8,2166.46
939,2436.2,2483.12
940,2271.3,2247.97
941,2386.7,2301.67
942,2353.1,2344.4
943,2295.9,2251.82
944,1758.2,1747.41
945,2589.2,2525.45
946,2276.9,2260.18
947,2456.6,2479.42
948,2284.5,2259.67
949,2446.2,2391.32
950,2218.4,2260.82
951,2319.9,2247.02
952,2136,2131.42
953,2051.7,2098.87
954,2332.7,2365.95
955,2233.2,2279.51
956,2241,2298.1
957,2295.3,2267.89
958,2304.9,2276.59
959,1817.5,1815.48
960,2648.4,2690.15
961,2462,2547.86
962,2227.2,2221.26
963,2480.1,2510.77
964,2389.6,2354.21
965,1534,1546.73
966,2508.7,2517.07
967,2246.1,2256.93
968,2316.7,2325.44
969,2327.7,2318.3
970,2494.1,2485.93
971,2548.9,2589.97
972,1674.3,1697.51
973,2331.9,2366.15
974,2394.2,2369.79
975,2339.6,2254.43
976,2217.8,2292.26
977,2009.4,1978.5
978,2120.2,2108.85
979,2290.9,2310
980,2386.7,2378.74
981,2218.8,2223.44
982,2296.2,2306.52
983,2444.5,2520.47
984,1792.3,1738.68
985,2326.1,2295.13
986,2341.6,2421.19
987,2249.8,2259.52
988,2188.9,1971.29
989,1582.2,2385.97
990,2397.5,2399.09
991,2045.9,2053.82
992,2308.8,2292.3
993,2233,2264.88
994,2271,2324.4
995,2454.2,2483.61
996,1943.1,1910.41
997,1039.1,2511.35
998,2261.7,2223.69
999,2271.9,2270.77
1000,2222.7,2252.58
1001,2196.7,2217.41
1002,2189,2210.38
1003,2063.7,2044.33
1004,1954.4,1980.12
1005,2199.3,2175.35
1006,1977.4,1949.84
1007,1842,1833.16
1008,2215,2238.25
1009,1508.7,2271.23
1010,2216.1,2213.45
1011,2398.8,2369.74
1012,1722.6,1698.65
1013,2341,2227.95
1014,2505.4,2511.06
1015,2674.2,2677.97
1016,2254.7,2219.23
1017,2357.6,2340.49
1018,2355.5,2350.75
1019,2196.5,2264.84
1020,2385.3,2414.42
1021,2111.3,2177.05
1022,2226.5,1906.67
1023,1713.1,1703.69
1024,2017.9,2005.48
1025,2061.1,2017.73
1026,2297.4,2366.64
1027,1899.7,1758.09
1028,2307.5,2282.79
1029,2361.6,2299.62
1030,2327.2,2292.09
1031,2318.5,2357.26
1032,2163,2188.55
1033,1707.8,1735.69
1034,2379.2,2382.59
1035,2158.1,2159.91
1036,2293.5,2284.88
1037,1989.3,2274.46
1038,2237.9,2224.81
1039,2218.2,2207.65
1040,2287.8,2373.39
1041,2268.5,2286.28
1042,2298,2312.94
1043,2202.1,2192.88
1044,2082.9,2100.3
1045,2357,2346.85
1046,2277.2,2217.48
1047,2312.2,2363.86
1048,1697.7,1668.29
1049,2346.8,2367.57
1050,2294.3,2332.55
1051,1999.2,1968.81
1052,2348,2351.43
1053,2418.5,2454.07
1054,2289,2286.28
1055,2424.5,2426.13
1056,2180.1,2225.92
1057,2312.5,2359.15
1058,2189.5,2136.46
1059,2472.5,2498.16
1060,2399.6,2561.43
1061,2188.6,2191.88
1062,2582.4,2609.28
1063,2291.4,2280.65
1064,2283.8,2341.66
1065,2288,2243.79
1066,2325,2296.11
1067,2382.4,2366.33
1068,1999.8,2135.26
1069,2152.6,2165.22
1070,2357.5,2321.63
1071,2376.6,2313.98
1072,2225.7,2213.86
1073,2228.4,2219.6
1074,1636.7,1645.38
1075,2484.7,2480.37
1076,2259.5,2255.61
1077,2023,2015.79
1078,2585.8,2597.41
1079,2508.2,2503.04
1080,2247.5,2099.55
1081,2719.3,2732.52
1082,1782,1753.08
1083,2264,2235.57
1084,2498.8,2509.5
1085,2223.8,2205.92
1086,2410.8,2467.65
1087,2207.5,2211.41
1088,2389.9,2389.48
1089,2220.1,2254.28
1090,2298.7,2312.41
1091,1248,2407.14
1092,2212,2190.98
1093,1663.6,1659.35
1094,2423.9,2445.6
1095,2339.1,2338.1
1096,2179.8,2170.71
1097,2316.8,2379.42
1098,2342,2291.03
1099,2235.5,2504.42
1100,2236.6,2254.08
1101,2404.7,2378.61
1102,2122.9,2122.97
1103,2493.5,2578.74
1104,2224.1,2210.63
1105,2234.9,2322.24
1106,979.5,2569.2
1107,2191.9,2246
1108,2206.2,2257.9
1109,2144.8,2180.51
1110,2220.7,2215.78
1111,1609.4,1638.96
1112,2082.3,2089.93
1113,2225.4,2226.72
1114,1799.6,1852.94
1115,2411.7,2385.69
1116,2223.1,2231.28
1117,2182.2,2188.04
1118,2237.5,2128.82
1119,2114.8,2341.72
1120,2672.3,2238.4
1121,1425.3,2152.42
1122,2249.7,2220.66
1123,2365.9,2363.72
1124,1721.7,1701.71
1125,2221,2234.86
1126,2349.7,2347.59
1127,2608.8,2682.41
1128,2130.2,2144.02
1129,2184.3,2224.89
1130,2455.5,2498.7
1131,2378,2343.29
1132,2312,2281.44
1133,2227.2,2252.68
1134,2222.2,2000.74
1135,2173.2,2166.25
1136,2328.7,2206.49
1137,1548.5,1545
1138,2403.6,2389.84
1139,1808.5,1837.77
1140,2382.9,2437.55
1141,2434.7,2432.83
1142,1548.4,1548.38
1143,2013.3,2004.15
1144,2874,2488.3
1145,2255.1,2346.27
1146,2279.5,2263.01
1147,1585.3,1558.64
1148,2204.4,2276.01
1149,2312,2299.93
1150,2274.1,2236.78
1151,2236.7,2232.91
1152,2333.2,2339.97
1153,2769.3,2793.04
1154,2366.6,2346.66
1155,2161.2,2188.61
1156,2454.1,2423.51
1157,2355.9,2274.39
1158,1855.2,1844.13
1159,1580.8,1596.53
1160,2442.8,2479.23
1161,2314.2,2285.42
1162,2387.6,2360.61
1163,2274.3,2070.8
1164,2258.7,2732.87
1165,2463.3,2387.39
1166,2523.1,2500.05
1167,2221,2199.63
1168,2637.4,2656.81
1169,2276.3,2232.66
1170,2805.6,2308.21
1171,2118.7,2160.91
1172,2031.1,2026.14
1173,2228.7,2219.09
1174,2281.3,2235.95
1175,2300,2320.26
1176,2103.5,2145.13
1177,2011.5,2002.82
1178,1615.6,1563.94
1179,2323.6,2389.38
1180,2346.4,2388.44
1181,2343.2,2322.02
1182,2259.3,2336.91
1183,2014,2080.6
1184,2054.4,1958.81
1185,2274.2,2307.14
1186,2619.7,2349.55
1187,2397.3,2428.52
1188,2650.3,2560.59
1189,2089.4,2083.5
1190,2065.9,2086.58
1191,2583.5,2555.28
1192,2380.7,2363.81
1193,2670.9,2221.99
1194,2325.8,2297.83
1195,2373.3,2370.47
1196,2351.1,2351.21
1197,2318.3,2381.99
1198,2276.2,2238.66
1199,2511.8,2479.87
1200,2266.1,2226.15
1201,2092.4,2095.41
1202,1391.1,1395.7
1203,1754.9,1788.1
1204,2043.6,2233.94
1205,2280.3,2198.14
1206,2013.3,2034.58
1207,2466.7,2566.01
1208,2297.8,2337.4
1209,1415,2427.26
1210,1851.5,1849.68
1211,2366.3,2338.31
1212,2375.7,2318.47
1213,2328.5,2290.05
1214,2221.2,2221.99
1215,2473.6,2488.09
1216,2444.8,2433.18
1217,2308.4,2247.23
1218,1997.5,2004.07
1219,2253.6,2229.74
1220,2348.9,2337.08
1221,2325.5,2324.32
1222,2359,2336.46
1223,2180.7,1919.19
1224,2698.3,2741.78
1225,1585.6,1592.86
1226,1983.8,1998.18
1227,1880.7,1908.23
1228,2083.2,2082.93
1229,2525.7,2471.24
1230,1468.6,1421.34
1231,2210.1,2051.73
1232,2505.1,2545.99
1233,2388.3,2402.83
1234,2364.8,2395.94
1235,2240.6,2237.18
1236,2277.1,2287.05
1237,2376.8,2274.82
1238,2416,2446.41
1239,2225.3,2257.6
1240,2038,2047.79
1241,2242.9,2265.54
1242,2222.6,2238.44
1243,2401.3,2451.44
1244,1821,1810.9
1245,2362.1,2347.91
1246,2015.4,2059.47
1247,2549.2,2524.47
1248,2073.8,2109.38
1249,2207.2,2205.35
1250,2152.2,2156.15
1251,2301.5,2296.65
1252,2168.7,2190.04
1253,2145.8,2192.51
1254,1605.8,1641.89
1255,2151.1,2216.08
1256,2242.5,2228.13
1257,1688.8,1716.36
1258,1937.6,1897.73
1259,2212.6,2200.6
1260,2429.8,2422.89
1261,2375,2340.39
1262,2346.1,2382.07
1263,2646.4,2683.63
1264,2380.4,2357.02
1265,1700.5,1674.47
1266,2215.6,2211.98
1267,2281,2188.75
1268,2122.1,2126.5
1269,2298.5,2497.14
1270,2020.8,2047.05
1271,2399.2,2456.74
1272,2295,2256.42
1273,1472.5,1490.04
1274,2293.3,2327.52
1275,2161.3,2244.55
1276,1425.6,1429.13
1277,2273.2,2291.36
1278,2138.3,2143.14
